LebronPoints,MJPoints
5.9,5.9
7.2,2.9
6.6,4.6
6,5.9
7.2,8
7.2,6.3
8.6,5.5
7,6.1
6.2,5.5
7.3,5.3
6.3,4.3
7.4,4.3
6.8,3.5
8.7,5.2
9.1,3.8
