LebronPoints,MJPoints
20.9,28.2
27.2,22.7
31.4,37.1
27.3,35
30,32.5
28.4,33.6
29.7,31.5
26.7,30.1
27.1,32.6
26.8,26.9
27.1,30.4
25.3,29.6
25.3,28.7
26.4,22.9
27.5,20
