LebronPoints,MJPoints
1.6,2.4
2.2,2.1
1.6,2.9
1.6,3.2
1.8,2.9
1.7,2.8
1.6,2.7
1.6,2.3
1.9,2.8
1.7,1.8
1.6,2.2
1.6,1.7
1.4,1.7
1.2,1.4
1.4,1.5
